Index,Chess Index,Name,Live Value,Min Value,Max Value,Mean Value,StdDev Value,Top1 Core ID,Top1 Strength,Top1 Quality,Top2 Core ID,Top2 Strength,Top2 Quality,Top3 Core ID,Top3 Strength,Top3 Quality,Top4 Core ID,Top4 Strength,Top4 Quality
228,E28,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
229,F28,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
230,G28,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
231,H28,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
232,A29,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
233,B29,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
234,C29,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
235,D29,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
236,E29,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
237,F29,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
238,G29,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
239,H29,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
240,A30,"Core 0 Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
241,B30,"Core 1 Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
242,C30,"Core 2 Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
243,D30,"Core 3 Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
244,E30,"Core 4 Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
245,F30,"Core 5 Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
246,G30,"Core 6 Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
247,H30,"Core 7 Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
248,A31,"Core 0 Effective Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
249,B31,"Core 1 Effective Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
250,C31,"Core 2 Effective Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
251,D31,"Core 3 Effective Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
252,E31,"Core 4 Effective Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
253,F31,"Core 5 Effective Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
254,G31,"Core 6 Effective Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
255,H31,"Core 7 Effective Clock",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
256,A32,"Core 0 C0 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
257,B32,"Core 1 C0 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
258,C32,"Core 2 C0 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
259,D32,"Core 3 C0 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
260,E32,"Core 4 C0 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
261,F32,"Core 5 C0 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
262,G32,"Core 6 C0 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
263,H32,"Core 7 C0 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
264,A33,"Core 0 CC1 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
265,B33,"Core 1 CC1 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
266,C33,"Core 2 CC1 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
267,D33,"Core 3 CC1 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
268,E33,"Core 4 CC1 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
269,F33,"Core 5 CC1 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
270,G33,"Core 6 CC1 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
271,H33,"Core 7 CC1 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
272,A34,"Core 0 CC6 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
273,B34,"Core 1 CC6 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
274,C34,"Core 2 CC6 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
275,D34,"Core 3 CC6 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
276,E34,"Core 4 CC6 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
277,F34,"Core 5 CC6 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
278,G34,"Core 6 CC6 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
279,H34,"Core 7 CC6 Residency",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
280,A35,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
281,B35,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
282,C35,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
283,D35,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
284,E35,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
285,F35,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
286,G35,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
287,H35,"",0.903,0.903,1.806,0.903,0.013,25,0.138,1.000,8,0.123,1.000,13,0.109,1.000,14,0.104,1.000
