Index,Chess Index,Name,Live Value,Min Value,Max Value,Mean Value,StdDev Value,Top1 Core ID,Top1 Strength,Top1 Quality,Top2 Core ID,Top2 Strength,Top2 Quality,Top3 Core ID,Top3 Strength,Top3 Quality,Top4 Core ID,Top4 Strength,Top4 Quality
376,A47,"",63.375,0.000,90.750,62.054,2.433,1,0.201,1.000,30,0.149,1.000,18,0.148,1.000,21,0.080,1.000
377,B47,"",68.000,0.000,92.625,66.040,3.423,1,0.236,1.000,15,0.107,1.000,20,0.087,1.000,30,0.085,1.000
378,C47,"",64.750,0.000,92.125,63.086,2.393,1,0.218,1.000,20,0.162,1.000,30,0.144,1.000,21,0.056,1.000
379,D47,"",65.125,0.000,86.500,63.366,2.371,21,0.165,1.000,20,0.082,1.000,1,0.080,1.000,30,0.078,1.000
380,E47,"",63.750,0.000,91.750,62.978,2.902,1,0.163,1.000,22,0.116,1.000,30,0.113,1.000,20,0.097,1.000
381,F47,"",65.125,0.000,91.750,63.321,2.782,1,0.152,1.000,23,0.121,1.000,30,0.121,1.000,20,0.074,1.000
382,G47,"",56.375,0.000,77.375,55.162,2.304,24,0.132,1.000,0,0.048,1.000,1,0.000,1.000,2,0.000,1.000
383,H47,"",56.625,0.000,77.312,55.344,2.403,25,0.125,1.000,0,0.072,1.000,27,0.000,1.000,9,0.000,1.000
384,A48,"",56.125,0.000,73.188,54.978,2.404,26,0.113,1.000,0,0.066,1.000,10,0.000,1.000,1,0.000,1.000
385,B48,"",56.750,0.000,74.625,55.289,2.535,27,0.120,1.000,0,0.080,1.000,11,0.000,1.000,1,0.000,1.000
386,C48,"",56.125,0.000,78.500,54.890,2.526,28,0.123,1.000,0,0.071,1.000,12,0.041,1.000,1,0.000,1.000
387,D48,"",56.250,0.000,75.000,55.117,2.589,29,0.120,1.000,0,0.078,1.000,13,0.061,1.000,1,0.000,1.000
388,E48,"",56.500,0.000,76.938,55.342,2.430,30,0.143,1.000,14,0.094,1.000,0,0.044,1.000,1,0.000,1.000
389,F48,"",56.250,0.000,77.875,55.231,2.633,31,0.133,1.000,15,0.095,1.000,0,0.049,1.000,1,0.000,1.000
390,G48,"",4.925,0.000,5.225,3.770,1.397,0,0.120,1.000,2,0.082,1.000,3,0.081,1.000,1,0.076,1.000
391,H48,"",4.925,0.000,5.350,4.429,1.181,0,0.122,1.000,1,0.113,1.000,2,0.066,1.000,4,0.062,1.000
392,A49,"",4.925,0.000,5.250,3.874,1.396,0,0.144,1.000,1,0.113,1.000,4,0.069,1.000,2,0.064,1.000
393,B49,"",4.925,0.000,5.350,4.578,1.068,0,0.189,1.000,1,0.166,1.000,3,0.163,1.000,2,0.102,1.000
394,C49,"",4.925,0.000,5.250,4.161,1.307,0,0.156,1.000,1,0.113,1.000,3,0.096,1.000,2,0.082,1.000
395,D49,"",1.970,0.000,5.250,3.737,1.418,0,0.158,1.000,1,0.105,1.000,3,0.080,1.000,2,0.080,1.000
396,E49,"",1.970,0.000,5.300,4.024,1.364,0,0.195,1.000,2,0.121,1.000,5,0.069,1.000,6,0.063,1.000
397,F49,"",1.970,0.000,5.300,3.940,1.384,0,0.186,1.000,2,0.104,1.000,3,0.077,1.000,5,0.065,1.000
398,G49,"",1.800,0.000,5.125,2.147,0.891,24,0.099,1.000,8,0.091,1.000,30,0.000,1.000,23,0.000,1.000
399,H49,"GFX Voltage",1.800,0.000,5.225,2.131,0.877,25,0.106,1.000,9,0.097,1.000,30,0.000,1.000,29,0.000,1.000
400,A50,"SoC Temperature",1.800,0.000,5.100,2.113,0.846,10,0.102,1.000,26,0.102,1.000,21,0.000,1.000,20,0.000,1.000
401,B50,"",1.800,0.000,5.200,2.118,0.857,27,0.113,1.000,11,0.105,1.000,26,0.000,1.000,22,0.000,1.000
402,C50,"GFX Frequency",1.800,0.000,5.225,2.110,0.845,28,0.111,1.000,12,0.109,1.000,31,0.000,1.000,0,0.000,1.000
403,D50,"",1.800,0.000,5.200,2.122,0.863,29,0.106,1.000,13,0.105,1.000,25,0.000,1.000,22,0.000,1.000
404,E50,"GFX Busy",1.800,0.000,5.175,2.111,0.846,30,0.115,1.000,14,0.106,1.000,28,0.000,1.000,25,0.000,1.000
405,F50,"",1.800,0.000,5.175,2.098,0.827,15,0.112,1.000,31,0.107,1.000,0,0.000,1.000,1,0.000,1.000
406,G50,"",0.000,0.000,5.181,0.347,1.109,16,0.138,1.000,0,0.011,1.000,1,0.000,1.000,2,0.000,1.000
407,H50,"",4.782,0.000,5.251,1.138,1.607,17,0.082,1.000,1,0.060,1.000,30,0.031,1.000,23,0.000,1.000
408,A51,"",0.039,0.000,5.185,0.459,1.195,18,0.130,1.000,2,0.072,1.000,30,0.009,1.000,23,0.000,1.000
409,B51,"FCLK",1.779,0.000,5.241,1.317,1.630,3,0.085,1.000,19,0.082,1.000,1,0.037,1.000,15,0.036,1.000
410,C51,"UCLK",0.046,0.000,5.182,0.582,1.234,20,0.119,1.000,4,0.094,1.000,30,0.000,1.000,0,0.000,1.000
411,D51,"MEMCLK",0.000,0.000,5.187,0.408,1.164,21,0.129,1.000,5,0.104,1.000,20,0.000,1.000,0,0.000,1.000
412,E51,"",0.000,0.000,5.250,0.626,1.328,22,0.113,1.000,6,0.098,1.000,30,0.000,1.000,20,0.000,1.000
413,F51,"",0.000,0.000,5.207,0.541,1.264,23,0.116,1.000,7,0.107,1.000,30,0.000,1.000,20,0.000,1.000
414,G51,"",0.000,0.000,5.080,0.261,1.081,24,0.138,1.000,8,0.121,1.000,0,0.000,1.000,1,0.000,1.000
415,H51,"",0.000,0.000,5.182,0.265,1.091,25,0.137,1.000,9,0.122,1.000,0,0.000,1.000,1,0.000,1.000
416,A52,"",0.000,0.000,5.064,0.263,1.086,26,0.133,1.000,10,0.127,1.000,0,0.000,1.000,1,0.000,1.000
417,B52,"",0.000,0.000,5.161,0.271,1.104,27,0.145,1.000,11,0.128,1.000,0,0.000,1.000,1,0.000,1.000
418,C52,"",0.000,0.000,5.182,0.268,1.097,28,0.141,1.000,12,0.133,1.000,0,0.000,1.000,1,0.000,1.000
419,D52,"FCLK Effective",0.000,0.000,5.159,0.267,1.094,29,0.142,1.000,13,0.136,1.000,0,0.000,1.000,1,0.000,1.000
420,E52,"",0.000,0.000,5.111,0.266,1.094,30,0.148,1.000,14,0.135,1.000,0,0.000,1.000,1,0.000,1.000
421,F52,"",0.000,0.000,5.129,0.262,1.086,15,0.140,1.000,31,0.137,1.000,0,0.000,1.000,1,0.000,1.000
422,G52,"",0.010,0.000,100.000,8.688,23.293,16,0.125,1.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000
423,H52,"",100.000,0.000,100.000,24.603,32.994,17,0.072,1.000,1,0.040,1.000,30,0.031,1.000,23,0.000,1.000
424,A53,"",2.060,0.000,100.000,10.860,25.107,18,0.117,1.000,2,0.052,1.000,30,0.013,1.000,23,0.000,1.000
425,B53,"",35.820,0.000,100.000,27.832,33.224,19,0.074,1.000,3,0.070,1.000,15,0.034,1.000,1,0.019,1.000
426,C53,"",0.980,0.000,100.000,13.206,25.766,20,0.111,1.000,4,0.078,1.000,30,0.000,1.000,23,0.000,1.000
427,D53,"",0.000,0.000,100.000,9.798,24.437,21,0.119,1.000,5,0.090,1.000,20,0.000,1.000,0,0.000,1.000
428,E53,"",0.000,0.000,100.000,14.314,27.731,22,0.102,1.000,6,0.083,1.000,30,0.000,1.000,20,0.000,1.000
429,F53,"",0.000,0.000,100.000,12.579,26.449,23,0.106,1.000,7,0.093,1.000,30,0.000,1.000,20,0.000,1.000
430,G53,"",0.000,0.000,100.000,5.748,22.687,24,0.134,1.000,8,0.119,1.000,0,0.000,1.000,1,0.000,1.000
431,H53,"",0.000,0.000,100.000,5.791,22.819,25,0.132,1.000,9,0.118,1.000,0,0.000,1.000,1,0.000,1.000
432,A54,"",0.000,0.000,100.000,5.699,22.726,26,0.129,1.000,10,0.126,1.000,0,0.000,1.000,1,0.000,1.000
433,B54,"",0.000,0.000,100.000,5.867,23.051,27,0.140,1.000,11,0.125,1.000,0,0.000,1.000,1,0.000,1.000
434,C54,"",0.000,0.000,100.000,5.778,22.881,28,0.135,1.000,12,0.129,1.000,0,0.000,1.000,1,0.000,1.000
435,D54,"",0.000,0.000,100.000,5.767,22.808,29,0.136,1.000,13,0.131,1.000,0,0.000,1.000,1,0.000,1.000
436,E54,"",0.000,0.000,100.000,5.744,22.821,30,0.145,1.000,14,0.130,1.000,0,0.000,1.000,1,0.000,1.000
437,F54,"",0.000,0.000,100.000,5.639,22.645,15,0.136,1.000,31,0.133,1.000,0,0.000,1.000,1,0.000,1.000
438,G54,"",19.720,0.000,100.000,48.251,45.781,1,0.100,1.000,2,0.059,1.000,3,0.033,1.000,11,0.026,1.000
439,H54,"",0.000,0.000,100.000,68.934,36.888,17,0.075,1.000,1,0.027,1.000,31,0.016,1.000,30,0.014,1.000
440,A55,"",97.940,0.000,100.000,65.591,42.944,0,0.061,1.000,18,0.054,1.000,31,0.020,1.000,26,0.019,1.000
441,B55,"",64.180,0.000,100.000,69.624,34.693,3,0.085,1.000,19,0.080,1.000,15,0.052,1.000,1,0.021,1.000
442,C55,"",99.020,0.000,100.000,79.646,33.317,4,0.111,1.000,20,0.094,1.000,27,0.028,1.000,31,0.011,1.000
443,D55,"",100.000,0.000,100.000,59.239,45.057,5,0.055,1.000,0,0.031,1.000,21,0.030,1.000,28,0.017,1.000
444,E55,"",100.000,0.000,100.000,70.550,39.641,6,0.086,1.000,22,0.076,1.000,16,0.047,1.000,18,0.034,1.000
445,F55,"",100.000,0.000,100.000,68.156,41.309,7,0.081,1.000,23,0.063,1.000,28,0.040,1.000,0,0.033,1.000
446,G55,"",0.000,0.000,100.000,1.223,9.019,1,0.064,1.000,30,0.063,1.000,26,0.000,1.000,21,0.000,1.000
447,H55,"",0.000,0.000,100.000,1.243,9.326,1,0.066,1.000,30,0.063,1.000,27,0.048,1.000,21,0.000,1.000
448,A56,"",0.000,0.000,100.000,1.188,9.308,30,0.077,1.000,1,0.071,1.000,27,0.031,1.000,8,0.000,1.000
449,B56,"",0.000,0.000,100.000,1.190,9.299,30,0.071,1.000,1,0.052,1.000,8,0.000,1.000,0,0.000,1.000
450,C56,"",0.000,0.000,100.000,1.286,9.862,30,0.081,1.000,21,0.028,1.000,8,0.000,1.000,0,0.000,1.000
451,D56,"",0.000,0.000,100.000,1.574,11.031,30,0.041,1.000,15,0.000,1.000,8,0.000,1.000,0,0.000,1.000
452,E56,"",0.000,0.000,100.000,1.309,9.950,30,0.019,1.000,8,0.000,1.000,0,0.000,1.000,1,0.000,1.000
453,F56,"",0.000,0.000,100.000,1.309,10.028,30,0.047,1.000,1,0.044,1.000,29,0.000,1.000,8,0.000,1.000
454,G56,"",80.270,0.000,100.000,43.057,46.213,0,0.152,1.000,3,0.076,1.000,6,0.074,1.000,9,0.050,1.000
455,H56,"",0.000,0.000,100.000,6.459,23.163,1,0.234,1.000,17,0.121,1.000,16,0.082,1.000,31,0.063,1.000
456,A57,"",0.000,0.000,100.000,23.545,40.392,1,0.130,1.000,0,0.112,1.000,2,0.093,1.000,4,0.071,1.000
457,B57,"",0.000,0.000,100.000,2.539,14.904,3,0.553,1.000,15,0.170,1.000,19,0.165,1.000,1,0.098,1.000
458,C57,"",0.000,0.000,100.000,7.143,24.396,4,0.269,1.000,11,0.098,1.000,3,0.093,1.000,8,0.092,1.000
459,D57,"",0.000,0.000,100.000,30.958,43.902,0,0.177,1.000,5,0.100,1.000,3,0.076,1.000,7,0.069,1.000
460,E57,"",0.000,0.000,100.000,15.131,34.120,0,0.280,1.000,6,0.149,1.000,2,0.149,1.000,16,0.096,1.000
461,F57,"",0.000,0.000,100.000,19.260,37.505,0,0.207,1.000,7,0.121,1.000,6,0.120,1.000,28,0.065,1.000
462,G57,"",100.000,0.000,100.000,93.024,24.405,24,0.121,1.000,8,0.106,1.000,0,0.000,1.000,1,0.000,1.000
463,H57,"",100.000,0.000,100.000,92.961,24.671,25,0.118,1.000,9,0.102,1.000,21,0.000,1.000,15,0.000,1.000
464,A58,"",100.000,0.000,100.000,93.108,24.539,26,0.115,1.000,10,0.109,1.000,0,0.000,1.000,1,0.000,1.000
465,B58,"",100.000,0.000,100.000,92.938,24.858,27,0.125,1.000,11,0.109,1.000,0,0.000,1.000,1,0.000,1.000
466,C58,"",100.000,0.000,100.000,92.932,24.930,28,0.119,1.000,12,0.110,1.000,21,0.000,1.000,0,0.000,1.000
467,D58,"",100.000,0.000,100.000,92.654,25.363,29,0.117,1.000,13,0.108,1.000,15,0.000,1.000,0,0.000,1.000
468,E58,"",100.000,0.000,100.000,92.943,24.906,30,0.130,1.000,14,0.111,1.000,0,0.000,1.000,1,0.000,1.000
469,F58,"",100.000,0.000,100.000,93.047,24.765,15,0.116,1.000,31,0.116,1.000,0,0.000,1.000,1,0.000,1.000
470,G58,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
471,H58,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
472,A59,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
473,B59,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
474,C59,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
475,D59,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
476,E59,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
477,F59,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
478,G59,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
479,H59,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
480,A60,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
481,B60,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
482,C60,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
483,D60,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
484,E60,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
485,F60,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
486,G60,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
487,H60,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
488,A61,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
489,B61,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
490,C61,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
491,D61,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
492,E61,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
493,F61,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
494,G61,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
495,H61,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
496,A62,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
497,B62,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
498,C62,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
499,D62,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
500,E62,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
501,F62,"",5.350,0.000,5.350,5.350,0.037,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
502,G62,"",0.645,0.000,0.645,0.645,0.004,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
503,H62,"",0.741,0.000,0.741,0.741,0.005,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
504,A63,"",0.677,0.000,0.677,0.677,0.005,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
505,B63,"",0.741,0.000,0.741,0.741,0.005,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
506,C63,"",0.709,0.000,0.709,0.709,0.005,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
507,D63,"",0.677,0.000,0.677,0.677,0.005,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
508,E63,"",0.741,0.000,0.741,0.741,0.005,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
509,F63,"",0.709,0.000,0.709,0.709,0.005,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
510,G63,"",0.548,0.000,0.548,0.548,0.004,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
511,H63,"",0.645,0.000,0.645,0.645,0.004,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
512,A64,"",0.516,0.000,0.516,0.516,0.004,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
513,B64,"",0.612,0.000,0.612,0.612,0.004,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
514,C64,"",0.612,0.000,0.612,0.612,0.004,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
515,D64,"",0.580,0.000,0.580,0.580,0.004,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
516,E64,"",0.580,0.000,0.580,0.580,0.004,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
517,F64,"",0.548,0.000,0.548,0.548,0.004,1,0.216,1.000,13,0.194,1.000,0,0.000,1.000,2,0.000,1.000
518,G64,"",0.000,0.000,11.000,0.176,0.654,30,0.030,1.000,24,0.000,1.000,23,0.000,1.000,19,0.000,1.000
519,H64,"",7.000,0.000,12.000,0.952,1.941,3,0.088,1.000,5,0.082,1.000,0,0.066,1.000,30,0.066,1.000
520,A65,"",0.000,0.000,12.000,0.263,0.902,1,0.139,1.000,30,0.111,1.000,28,0.044,1.000,21,0.041,1.000
521,B65,"",0.000,0.000,12.000,0.967,1.909,1,0.177,1.000,0,0.071,1.000,9,0.067,1.000,8,0.063,1.000
522,C65,"",0.000,0.000,12.000,0.314,0.954,1,0.154,1.000,30,0.093,1.000,20,0.023,1.000,11,0.003,1.000
523,D65,"",0.000,0.000,12.000,0.210,0.746,30,0.059,1.000,20,0.037,1.000,1,0.036,1.000,27,0.000,1.000
524,E65,"",0.000,0.000,12.000,0.447,1.242,1,0.107,1.000,30,0.061,1.000,20,0.058,1.000,17,0.048,1.000
525,F65,"",0.000,0.000,12.000,0.363,1.091,1,0.121,1.000,30,0.085,1.000,12,0.041,1.000,20,0.038,1.000
526,G65,"",0.000,0.000,11.000,0.084,0.425,24,0.020,1.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000
527,H65,"",0.000,0.000,10.000,0.085,0.424,25,0.023,1.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000
528,A66,"",0.000,0.000,8.000,0.080,0.403,26,0.033,1.000,10,0.000,1.000,0,0.000,1.000,1,0.000,1.000
529,B66,"",0.000,0.000,9.000,0.087,0.443,27,0.031,1.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000
530,C66,"",0.000,0.000,12.000,0.087,0.443,28,0.027,1.000,12,0.000,1.000,0,0.000,1.000,1,0.000,1.000
531,D66,"",0.000,0.000,12.000,0.086,0.431,29,0.035,1.000,26,0.000,1.000,13,0.000,1.000,0,0.000,1.000
532,E66,"",0.000,0.000,10.000,0.083,0.420,30,0.054,1.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000
533,F66,"",0.000,0.000,11.000,0.082,0.420,31,0.035,1.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000
534,G66,"",0.000,0.000,16700.758,190.231,647.905,1,0.066,1.000,16,0.057,1.000,30,0.041,1.000,21,0.011,1.000
535,H66,"",5520.191,0.000,19379.832,921.718,1848.462,1,0.135,1.000,30,0.086,1.000,20,0.076,1.000,5,0.072,1.000
536,A67,"",39.825,0.000,20015.232,294.672,905.589,1,0.245,1.000,30,0.172,1.000,21,0.048,1.000,28,0.028,1.000
537,B67,"",560.556,0.000,19961.721,995.834,1875.779,1,0.222,1.000,20,0.082,1.000,0,0.069,1.000,30,0.064,1.000
538,C67,"",58.201,0.000,19074.205,365.704,966.456,1,0.254,1.000,30,0.147,1.000,20,0.101,1.000,27,0.000,1.000
539,D67,"",0.000,0.000,19892.000,236.328,732.809,1,0.120,1.000,20,0.081,1.000,30,0.067,1.000,21,0.043,1.000
540,E67,"",0.000,0.000,20180.877,450.083,1233.071,1,0.187,1.000,20,0.117,1.000,30,0.109,1.000,8,0.074,1.000
541,F67,"",0.000,0.000,20095.016,375.448,1100.039,1,0.232,1.000,30,0.138,1.000,20,0.088,1.000,18,0.017,1.000
542,G67,"",0.000,0.000,13232.628,109.055,489.546,24,0.090,1.000,8,0.054,1.000,0,0.000,1.000,1,0.000,1.000
543,H67,"",0.000,0.000,13380.578,110.902,491.897,25,0.091,1.000,9,0.062,1.000,0,0.000,1.000,1,0.000,1.000
544,A68,"",0.000,0.000,10232.605,107.486,471.431,26,0.093,1.000,10,0.075,1.000,0,0.000,1.000,1,0.000,1.000
545,B68,"",0.000,0.000,14056.140,115.001,510.585,27,0.095,1.000,11,0.068,1.000,0,0.000,1.000,1,0.000,1.000
546,C68,"",0.000,0.000,13576.496,113.670,505.077,28,0.092,1.000,12,0.076,1.000,0,0.000,1.000,1,0.000,1.000
547,D68,"",0.000,0.000,17881.602,112.221,493.731,29,0.097,1.000,13,0.084,1.000,26,0.000,1.000,0,0.000,1.000
548,E68,"",0.000,0.000,12651.475,111.057,488.310,30,0.107,1.000,14,0.085,1.000,0,0.000,1.000,1,0.000,1.000
549,F68,"",0.000,0.000,16609.309,109.871,493.229,31,0.092,1.000,15,0.089,1.000,0,0.000,1.000,1,0.000,1.000
550,G68,"",0.000,0.000,1.000,0.018,0.088,1,0.122,1.000,30,0.074,1.000,20,0.035,1.000,19,0.025,1.000
551,H68,"",1.000,0.000,1.000,0.173,0.277,3,0.077,1.000,5,0.057,1.000,30,0.055,1.000,0,0.049,1.000
552,A69,"",0.005,0.000,1.000,0.039,0.132,1,0.152,1.000,30,0.099,1.000,21,0.072,1.000,28,0.037,1.000
553,B69,"",0.358,0.000,1.000,0.227,0.303,15,0.056,1.000,1,0.040,1.000,31,0.016,1.000,30,0.015,1.000
554,C69,"",0.001,0.000,1.000,0.068,0.160,1,0.098,1.000,30,0.072,1.000,29,0.010,1.000,28,0.000,1.000
555,D69,"",0.000,0.000,1.000,0.029,0.110,1,0.124,1.000,30,0.087,1.000,22,0.042,1.000,20,0.035,1.000
556,E69,"",0.000,0.000,1.000,0.072,0.182,1,0.122,1.000,30,0.053,1.000,17,0.047,1.000,20,0.046,1.000
557,F69,"",0.000,0.000,1.000,0.054,0.157,1,0.117,1.000,30,0.069,1.000,20,0.040,1.000,17,0.030,1.000
558,G69,"",0.000,0.000,1.000,0.002,0.035,30,0.084,1.000,1,0.041,1.000,20,0.014,1.000,29,0.006,1.000
559,H69,"",0.000,0.000,1.000,0.002,0.037,30,0.078,1.000,1,0.075,1.000,8,0.000,1.000,0,0.000,1.000
560,A70,"",0.000,0.000,1.000,0.001,0.027,30,0.115,1.000,1,0.109,1.000,28,0.000,1.000,10,0.000,1.000
561,B70,"",0.000,0.000,1.000,0.002,0.042,30,0.082,1.000,22,0.000,1.000,8,0.000,1.000,0,0.000,1.000
562,C70,"",0.000,0.000,1.000,0.002,0.042,30,0.066,1.000,8,0.000,1.000,0,0.000,1.000,1,0.000,1.000
563,D70,"",0.000,0.000,1.000,0.002,0.038,30,0.085,1.000,27,0.000,1.000,26,0.000,1.000,8,0.000,1.000
564,E70,"",0.000,0.000,1.000,0.002,0.035,30,0.084,1.000,8,0.000,1.000,1,0.000,1.000,0,0.000,1.000
565,F70,"",0.000,0.000,1.000,0.002,0.036,30,0.083,1.000,1,0.000,1.000,0,0.000,1.000,2,0.000,1.000
566,G70,"",0.000,0.000,1.000,0.069,0.217,16,0.135,1.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000
567,H70,"",0.000,0.000,1.000,0.073,0.222,17,0.130,1.000,1,0.026,1.000,30,0.000,1.000,0,0.000,1.000
568,A71,"",0.016,0.000,1.000,0.069,0.219,18,0.135,1.000,2,0.064,1.000,0,0.000,1.000,1,0.000,1.000
569,B71,"",0.000,0.000,1.000,0.052,0.180,19,0.192,1.000,3,0.171,1.000,21,0.027,1.000,27,0.000,1.000
570,C71,"",0.009,0.000,1.000,0.064,0.211,20,0.135,1.000,4,0.093,1.000,23,0.000,1.000,0,0.000,1.000
571,D71,"",0.000,0.000,1.000,0.069,0.221,21,0.135,1.000,5,0.103,1.000,0,0.000,1.000,1,0.000,1.000
572,E71,"Peak Core Temperature",0.000,0.000,1.000,0.071,0.221,22,0.139,1.000,6,0.112,1.000,0,0.000,1.000,1,0.000,1.000
573,F71,"Peak Core Voltage",0.000,0.000,1.000,0.071,0.221,23,0.135,1.000,7,0.116,1.000,20,0.000,1.000,0,0.000,1.000
574,G71,"Average Core Count",0.000,0.000,1.000,0.056,0.223,24,0.137,1.000,8,0.121,1.000,0,0.000,1.000,1,0.000,1.000
575,H71,"Max SoC Voltage",0.000,0.000,1.000,0.056,0.225,25,0.135,1.000,9,0.121,1.000,0,0.000,1.000,1,0.000,1.000
576,A72,"",0.000,0.000,1.000,0.056,0.225,26,0.131,1.000,10,0.127,1.000,0,0.000,1.000,1,0.000,1.000
577,B72,"",0.000,0.000,1.000,0.056,0.226,27,0.143,1.000,11,0.128,1.000,0,0.000,1.000,1,0.000,1.000
578,C72,"PROCHOT",0.000,0.000,1.000,0.055,0.224,28,0.138,1.000,12,0.132,1.000,0,0.000,1.000,1,0.000,1.000
579,D72,"",0.000,0.000,1.000,0.055,0.224,29,0.139,1.000,13,0.134,1.000,0,0.000,1.000,1,0.000,1.000
580,E72,"",0.000,0.000,1.000,0.055,0.225,30,0.146,1.000,14,0.132,1.000,0,0.000,1.000,1,0.000,1.000
